iter	Passed	Remaining
0	80	80695
1	81	40623
2	81	27197
3	82	20486
4	82	16458
5	83	13779
6	83	11869
7	84	10431
8	84	9318
9	85	8422
10	85	7697
11	86	7090
12	86	6574
13	87	6131
14	87	5748
15	88	5413
16	89	5163
17	90	4932
18	90	4695
19	92	4547
20	93	4358
21	94	4179
22	94	4015
23	94	3863
24	95	3731
25	96	3606
26	96	3487
27	97	3376
28	97	3271
29	98	3178
30	98	3089
31	102	3107
32	103	3039
33	104	2970
34	105	2898
35	108	2905
36	109	2837
37	109	2777
38	110	2717
39	110	2657
40	111	2601
41	111	2548
42	112	2499
43	112	2449
44	113	2403
45	113	2358
46	114	2317
47	114	2275
48	115	2236
49	115	2197
50	116	2159
51	116	2123
52	116	2087
53	117	2053
54	117	2021
55	118	1989
56	118	1958
57	118	1929
58	119	1900
59	119	1872
60	120	1848
61	122	1846
62	122	1826
63	123	1804
64	123	1782
65	124	1760
66	124	1740
67	125	1719
68	125	1698
69	126	1679
70	126	1659
71	127	1641
72	127	1622
73	128	1604
74	128	1585
75	128	1567
76	129	1550
77	129	1533
78	130	1517
79	130	1500
80	130	1485
81	131	1469
82	131	1452
83	131	1437
84	132	1423
85	132	1409
86	133	1395
87	133	1382
88	133	1369
89	134	1358
90	136	1365
91	137	1356
92	138	1348
93	138	1337
94	139	1326
95	139	1316
96	140	1305
97	140	1295
98	141	1285
99	141	1274
100	141	1263
101	142	1253
102	142	1243
103	143	1233
104	143	1223
105	143	1213
106	144	1204
107	144	1195
108	145	1185
109	145	1176
110	145	1168
111	146	1159
112	146	1150
113	147	1142
114	147	1134
115	147	1126
116	148	1117
117	148	1109
118	148	1102
119	150	1106
120	151	1099
121	151	1091
122	152	1084
123	152	1076
124	152	1069
125	153	1062
126	153	1055
127	153	1048
128	154	1042
129	154	1035
130	155	1028
131	155	1022
132	155	1016
133	156	1009
134	156	1003
135	157	997
136	157	991
137	157	985
138	158	979
139	158	974
140	158	968
141	159	961
142	159	956
143	159	950
144	160	945
145	160	940
146	161	935
147	161	930
148	162	925
149	162	920
150	162	915
151	163	910
152	163	906
153	165	910
154	166	905
155	166	900
156	166	895
157	167	890
158	167	886
159	167	881
160	168	876
161	168	872
162	169	868
163	169	863
164	169	859
165	170	855
166	170	850
167	170	846
168	171	842
169	171	838
170	172	834
171	172	830
172	172	826
173	173	822
174	173	818
175	174	814
176	174	810
177	174	807
178	175	803
179	175	799
180	175	796
181	176	792
182	176	789
183	177	785
184	177	781
185	178	779
186	180	783
187	181	781
188	181	778
189	181	775
190	182	772
191	183	770
192	183	768
193	184	766
194	184	763
195	185	760
196	185	757
197	186	754
198	187	752
199	187	749
200	187	747
201	188	744
202	188	741
203	189	739
204	189	736
205	190	733
206	190	731
207	191	728
208	191	726
209	192	724
210	194	727
211	195	724
212	195	722
213	195	719
214	196	717
215	196	714
216	197	712
217	197	710
218	198	707
219	198	705
220	199	702
221	199	700
222	200	698
223	200	695
224	201	693
225	201	690
226	202	687
227	202	685
228	202	682
229	203	680
230	203	677
231	203	675
232	204	672
233	204	670
234	205	667
235	205	666
236	206	664
237	206	662
238	207	659
239	209	661
240	209	659
241	209	657
242	210	654
243	210	652
244	211	650
245	211	647
246	211	645
247	212	643
248	212	641
249	213	639
250	213	637
251	214	635
252	214	633
253	214	630
254	215	628
255	215	626
256	216	624
257	216	622
258	216	620
259	217	618
260	217	616
261	218	614
262	218	612
263	218	610
264	219	608
265	219	606
266	220	604
267	220	602
268	220	600
269	221	598
270	222	599
271	223	598
272	224	596
273	224	595
274	224	593
275	225	591
276	225	589
277	226	587
278	226	585
279	227	583
280	227	581
281	227	580
282	228	578
283	228	576
284	228	574
285	229	572
286	229	570
287	230	568
288	230	567
289	230	565
290	231	563
291	231	561
292	232	559
293	232	558
294	232	556
295	233	554
296	233	553
297	234	551
298	234	549
299	234	548
300	235	546
301	235	544
302	236	543
303	237	544
304	238	543
305	238	541
306	239	540
307	239	538
308	240	536
309	240	535
310	241	533
311	241	532
312	241	531
313	242	529
314	242	527
315	243	526
